window;spike_date;spike_count;event_date;event;days_event_minus_spike
Conversation during 2021 conflict flare-up;2021-05-10;4539;2021-05-10;On 10 May 2021, a rocket launched by the Hamas Movement from the Gaza Strip hit a residential house in the town Bet Neqofa (Judean Mountains, Bet Neqofa) without inflicting casualties. 5 more rockets fell in open areas near the town. The barrage followed Hamas' threat to strike Jerusalem in response to the Israeli-Palestinian clashes in the city.;0
Conversation during 2021 conflict flare-up;2021-05-17;4556;2021-05-17;On 17 May 2021, Hamas targeted the southern Israeli towns of Netivot, Ashqelon, and Beersheba with a barrage of rockets. No casualties occurred.;0
Conversation during 2021 conflict flare-up;2021-05-24;2583;2021-05-24;On 24 May 2021, an Israeli settler from Dolev religious settlement opened fire towards a Palestinian child in the village of Al Janiyah (Ramallah and Al Bireh). As a result, the Palestinian child was injured in his hands and was transported to a nearby hospital for treatment.;0
Conversation during 2021 conflict flare-up;2021-05-31;1990;2021-05-30;On 30 May 2021, a Palestinian from Gaza Strip, armed with a kitchen knife, infiltrated the Israeli border and stabbed a civilian near Avshalom (HaDarom, Beer Sheva), injuring him. The victim was stabbed after stopping his car next to the attacker since he'd suspected him. An Israeli soldier that was nearby shot the attacker, who was arrested and later indicted in a nationalist-motivated attack.;-1
Conversation during 2021 conflict flare-up;2021-06-07;2433;2021-06-07;On 7 June 2021, Israeli prisoner guards fired rubber bullets and tear gas canisters towards Palestinian prisoners and severely beat them during their raid into section 7 of the Megiddo Prison in Megiddo (Yizreel, Yizreel). Family members of prisoners have reported that there were obvious signs that the prisoners were severely beat. A number of prisoners were also admitted to solitary confinement. Three Palestinian prisoners were injured by rubber bullets.;0
Conversation during 2021 conflict flare-up;2021-06-14;2141;2021-06-14;On 14 June 2021, an exchange of fire occurred near the Israeli-Jordanian border in the Arava region (HaDarom, Beer Sheva) between three smugglers who infiltrated the border from Jordan and Israeli military and police forces who sought to thwart the smuggling. A soldier and a smuggler were injured, and the smugglers were arrested with 17 rifles that were said to be destined for distribution in Israel and the West Bank.;0
Conversation during 2021 conflict flare-up;2021-06-21;824;2021-06-21;On 21 June 2021, Israeli settlers, likely from Homesh settlement, shot and hurled rocks at the vehicle of a Palestinian National Security officer's car in Dayr Sharaf (Nablus, West Bank), killing him.;0
Conversation during 2021 conflict flare-up;2021-06-28;1087;2021-06-27;On 27 June 2021, a Palestinian civilian was killed when an unidentified explosive device exploded while he cleaned the area surrounding his house in Az Zababidah (Jenin).;-1
Conversation during 2021 conflict flare-up;2021-07-05;1186;2021-07-05;On 5 July 2021, an Israeli settler ran over a Palestinian worker near the checkpoint 300 north of Bethlehem (Bethlehem). The attack is assumed to have been deliberate.;0
Conversation during 2021 conflict flare-up;2021-07-26;1106;2021-07-26;On 26 July 2021, Palestinian militants launched incendiary balloons towards Israeli communities surrounding the Gaza Strip (coded to Gaza) (Gaza City). It's unclear if the balloons succeeded in crossing the border.;0
Conversation from late 2023 to latest data;2023-10-09;15786;2023-10-09;On 9 October 2023, Katibat Tulkarm (PIJ) militants clashed with Israeli forces and settlers in Enav settlement (Tulkarm), killing 1 settler.;0
Conversation from late 2023 to latest data;2023-10-16;13257;2023-10-16;On 16 October 2023, at different times of the day, Israeli military airplanes struck several houses including Radi family, Faraj Allah family and Abu Brik family in An Nusayrat refugee camp (Deir El Balah, Gaza Strip). At least 20 Palestinians were killed including 3 children. Israeli military airplanes also struck Abu Medyan police station (Hamas) in An Nusayrat refugee camp. Casualties unknown.;0
Conversation from late 2023 to latest data;2023-10-23;12638;2023-10-23;On 23 October 2023, Hezbollah militants fired two anti-tank missiles from Lebanon toward an IDF post in the Misgav Am area, one of which fell in a residential yard in Kiryat Shmona (Zefat, HaZafon). 2 civilians were injured.;0
Conversation from late 2023 to latest data;2023-10-30;13024;2023-10-30;On 30 October 2023, Israeli military forces shot and killed a 'suspect' in Reim (Beer Sheva, HaDarom) who had infiltrated from Gaza. The suspect was presumably a Hamas militant.;0
Conversation from late 2023 to latest data;2023-11-06;10331;2023-11-06;On 6 November 2023, a missile launched by Hamas militants from Gaza fell in Ashdod (Ashqelon, HaDarom). Casualties unknown.;0
Conversation from late 2023 to latest data;2025-07-28;18969;2025-07-28;"IDF says troops uncovered weapons and tunnel near school building in north Gaza.""";0
Conversation from late 2023 to latest data;2025-08-04;18272;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";0
Conversation from late 2023 to latest data;2025-08-11;15230;2025-08-04;"Dozens killed as Palestinians scramble for aid from air and land in Gaza.""";-7
